cell_x,cell_y,accident_count,center_x,center_y,distance_to_centroid_m
440000,439000,18,440500.0,439500.0,11759.527653570321
444000,432000,18,444500.0,432500.0,14628.47833469903
417000,443000,18,417500.0,443500.0,15530.790442646845
440000,446000,18,440500.0,446500.0,16148.270389259636
424000,431000,17,424500.0,431500.0,6129.033061453929
437000,431000,17,437500.0,431500.0,8010.596465862409
425000,443000,17,425500.0,443500.0,10275.092171842898
442000,430000,17,442500.0,430500.0,13073.065215881874
444000,433000,17,444500.0,433500.0,14542.68001755457
443000,440000,17,443500.0,440500.0,14897.08627892476
441000,449000,17,441500.0,449500.0,19112.944202767736
430000,429000,16,430500.0,429500.0,4780.14323894103
426000,440000,16,426500.0,440500.0,7150.701815067391
431000,441000,16,431500.0,441500.0,7406.905038966379
433000,427000,16,433500.0,427500.0,7615.442681733659
439000,439000,16,439500.0,439500.0,10873.82095743157
441000,434000,16,441500.0,434500.0,11525.935126261202
435000,432000,15,435500.0,432500.0,5794.290517526303
436000,431000,15,436500.0,431500.0,7079.77028709832
424000,439000,15,424500.0,439500.0,7585.667795400209
437000,435000,15,437500.0,435500.0,7626.159620397123
427000,441000,15,427500.0,441500.0,7660.039723985589
435000,440000,15,435500.0,440500.0,8339.730945016858
423000,427000,15,423500.0,427500.0,9355.740645758622
437000,444000,15,437500.0,444500.0,12713.488266159458
415000,442000,15,415500.0,442500.0,16661.790756925693
435000,431000,14,435500.0,431500.0,6170.627107294133
436000,441000,14,436500.0,441500.0,9751.655467678343
431000,424000,14,431500.0,424500.0,9869.673717225427
419000,432000,14,419500.0,432500.0,10622.131041772269
422000,442000,14,422500.0,442500.0,11132.871604991406
440000,429000,14,440500.0,429500.0,11546.205159829113
420000,444000,14,420500.0,444500.0,13958.586631176306
442000,426000,14,442500.0,426500.0,14728.081318413893
418000,444000,14,418500.0,444500.0,15386.6540839274
420000,446000,14,420500.0,446500.0,15486.654517632207
441000,448000,14,441500.0,448500.0,18325.050406312414
432000,431000,13,432500.0,431500.0,3733.244384560423
424000,436000,13,424500.0,436500.0,5920.377081698906
430000,440000,13,430500.0,440500.0,6270.4521472726665
436000,437000,13,436500.0,437500.0,7287.395250939299
433000,441000,13,433500.0,441500.0,8059.482557700569
422000,438000,13,422500.0,438500.0,8599.545066823921
420000,437000,13,420500.0,437500.0,10018.08339007514
421000,428000,13,421500.0,428500.0,10243.731248588469
440000,434000,13,440500.0,434500.0,10526.18981939689
443000,431000,13,443500.0,431500.0,13800.31544073286
439000,448000,13,439500.0,448500.0,17138.099531519725
438000,433000,12,438500.0,433500.0,8556.312965766185
438000,432000,12,438500.0,432500.0,8701.340578549747
426000,442000,12,426500.0,442500.0,8951.361005816503
424000,443000,12,424500.0,443500.0,10748.535282495943
419000,438000,12,419500.0,438500.0,11305.425692733308
