u,v,length_m,node_owner_u,node_owner_v,node_network_owner,edge_point_owner,is_boundary_edge
255454253,5384025182,9.214341084051346,Seed_3,Seed_3,Seed_3,Seed_3,False
255454253,255454261,62.18213865988073,Seed_3,Seed_3,Seed_3,Seed_3,False
643605,21093557,88.92479461094169,Seed_4,Seed_4,Seed_4,Seed_4,False
643605,643607,142.14603649971963,Seed_4,Seed_4,Seed_4,Seed_4,False
643605,4413362485,52.149994708166425,Seed_4,Seed_4,Seed_4,Seed_4,False
21093557,255454159,15.729001382133765,Seed_4,Seed_4,Seed_4,Seed_4,False
21093557,21093553,154.124328250799,Seed_4,Seed_4,Seed_4,Seed_4,False
643607,255454150,103.5598247532758,Seed_4,Seed_4,Seed_4,Seed_4,False
643607,643608,130.3753708093764,Seed_4,Seed_4,Seed_4,Seed_4,False
643607,21093544,106.17686506325893,Seed_4,Seed_4,Seed_4,Seed_4,False
4413362485,4413362483,55.19808240949782,Seed_4,Seed_4,Seed_4,Seed_4,False
255454150,21093535,62.46611178769348,Seed_4,Seed_4,Seed_4,Seed_4,False
255454150,255454149,72.85438598645433,Seed_4,Seed_4,Seed_4,Seed_4,False
643608,6385753553,87.90069338238695,Seed_4,Seed_4,Seed_4,Seed_4,False
643608,643610,82.27016706844869,Seed_4,Seed_4,Seed_4,Seed_4,False
21093544,255454159,107.7324470951975,Seed_4,Seed_4,Seed_4,Seed_4,False
21093544,21093546,242.01403161870962,Seed_4,Seed_3,boundary,Seed_4,True
643610,21093538,17.55767003303077,Seed_4,Seed_4,Seed_4,Seed_4,False
643610,255454075,101.31426234961329,Seed_4,Seed_4,Seed_4,Seed_4,False
21093538,255454139,32.03958278807028,Seed_4,Seed_4,Seed_4,Seed_4,False
21093538,21093536,82.37256252857229,Seed_4,Seed_4,Seed_4,Seed_4,False
255454075,255454077,51.22814365971313,Seed_4,Seed_4,Seed_4,Seed_4,False
255454075,643612,86.89582821912266,Seed_4,Seed_4,Seed_4,Seed_4,False
643612,255454104,24.336225950693855,Seed_4,Seed_4,Seed_4,Seed_4,False
643612,26124069,262.97567383840243,Seed_4,Seed_4,Seed_4,Seed_4,False
255454104,255454123,40.288511178583676,Seed_4,Seed_4,Seed_4,Seed_4,False
255454104,255454121,133.61527919417654,Seed_4,Seed_4,Seed_4,Seed_4,False
26124069,26124068,37.51624643255322,Seed_4,Seed_4,Seed_4,Seed_4,False
26124069,643614,55.69090882215388,Seed_4,Seed_4,Seed_4,Seed_4,False
643614,26416729,230.1420989758571,Seed_4,Seed_4,Seed_4,Seed_4,False
26416729,26054638,37.496381723959296,Seed_4,Seed_4,Seed_4,Seed_4,False
26416729,26123986,131.6308945961437,Seed_4,Seed_4,Seed_4,Seed_4,False
643622,705561423,24.083005090523116,Seed_3,Seed_3,Seed_3,Seed_3,False
643622,643624,37.37744905719589,Seed_3,Seed_3,Seed_3,Seed_3,False
643622,1825219304,77.24224778839806,Seed_3,Seed_3,Seed_3,Seed_3,False
705561423,1642907218,33.688830883082794,Seed_3,Seed_3,Seed_3,Seed_3,False
705561423,643627,23.861749782473563,Seed_3,Seed_3,Seed_3,Seed_3,False
643624,1825219304,91.27418086222602,Seed_3,Seed_3,Seed_3,Seed_3,False
643624,1642907184,42.96855672842189,Seed_3,Seed_3,Seed_3,Seed_3,False
1825219304,1651115740,333.55498299655954,Seed_3,Seed_3,Seed_3,Seed_3,False
643627,643628,9.392643332840516,Seed_3,Seed_3,Seed_3,Seed_3,False
643627,1642907218,30.945054944239363,Seed_3,Seed_3,Seed_3,Seed_3,False
643628,705561416,109.00899681828172,Seed_3,Seed_3,Seed_3,Seed_3,False
643628,1642907184,23.377211963771558,Seed_3,Seed_3,Seed_3,Seed_3,False
705561416,643660,279.31113572191117,Seed_3,Seed_3,Seed_3,Seed_3,False
705561416,1642907255,35.05453718345582,Seed_3,Seed_3,Seed_3,Seed_3,False
1642907184,1642907255,112.71013969669437,Seed_3,Seed_3,Seed_3,Seed_3,False
643660,10296555092,139.62317840400652,Seed_3,Seed_3,Seed_3,Seed_3,False
643660,1642907250,480.5158991038337,Seed_3,Seed_3,Seed_3,Seed_3,False
10296555092,9023616166,120.18543704103132,Seed_3,Seed_3,Seed_3,Seed_3,False
10296555092,643665,176.9734689228013,Seed_3,Seed_3,Seed_3,Seed_3,False
643665,9025586523,165.27043191427674,Seed_3,Seed_3,Seed_3,Seed_3,False
643665,9023616166,65.47410946740725,Seed_3,Seed_3,Seed_3,Seed_3,False
9025586523,5031301751,60.65049469678084,Seed_3,Seed_3,Seed_3,Seed_3,False
9025586523,312489298,400.7643751084456,Seed_3,Seed_3,Seed_3,Seed_3,False
643670,11084323977,129.9252627057925,Seed_3,Seed_3,Seed_3,Seed_3,False
643670,643716,23.070119310368685,Seed_3,Seed_3,Seed_3,Seed_3,False
643670,312489298,15.644023086333366,Seed_3,Seed_3,Seed_3,Seed_3,False
11084323977,1596683245,318.3733795652694,Seed_3,Seed_3,Seed_3,Seed_3,False
643676,1642907327,140.46611201666389,Seed_3,Seed_3,Seed_3,Seed_3,False
643676,7102068692,100.78378011067166,Seed_3,Seed_3,Seed_3,Seed_3,False
1642907327,1642907255,501.6386373856237,Seed_3,Seed_3,Seed_3,Seed_3,False
1642907327,1642907203,622.1072112495838,Seed_3,Seed_3,Seed_3,Seed_3,False
643716,312489298,10.794811579932395,Seed_3,Seed_3,Seed_3,Seed_3,False
643716,312489308,161.0903171749408,Seed_3,Seed_3,Seed_3,Seed_3,False
312489298,5031301751,77.4047083492228,Seed_3,Seed_3,Seed_3,Seed_3,False
643769,1841165891,14.614539118741234,Seed_3,Seed_3,Seed_3,Seed_3,False
643769,9822732,430.255529743504,Seed_3,Seed_3,Seed_3,Seed_3,False
643769,643771,140.4227495905252,Seed_3,Seed_3,Seed_3,Seed_3,False
1841165891,26659751,224.86316823242663,Seed_3,Seed_3,Seed_3,Seed_3,False
1841165891,312489290,137.01756726376493,Seed_3,Seed_3,Seed_3,Seed_3,False
9822732,1938782226,15.76765686296844,Seed_3,Seed_3,Seed_3,Seed_3,False
9822732,11395172853,70.81293006619168,Seed_3,Seed_3,Seed_3,Seed_3,False
643771,1027324239,229.14917085823117,Seed_3,Seed_3,Seed_3,Seed_3,False
643771,8657770907,224.4577555887205,Seed_3,Seed_3,Seed_3,Seed_3,False
1027324239,6283246211,69.86432842768365,Seed_3,Seed_3,Seed_3,Seed_3,False
1027324239,9025065311,27.829423549263044,Seed_3,Seed_3,Seed_3,Seed_3,False
1027324239,8657770907,31.071862892652476,Seed_3,Seed_3,Seed_3,Seed_3,False
643789,6179488533,15.198782213592738,Seed_3,Seed_3,Seed_3,Seed_3,False
643789,9025073896,272.9407373904404,Seed_3,Seed_3,Seed_3,Seed_3,False
643789,921231600,48.77537076658991,Seed_3,Seed_3,Seed_3,Seed_3,False
643789,643790,85.82428954278606,Seed_3,Seed_3,Seed_3,Seed_3,False
643789,9025073822,51.78768459631404,Seed_3,Seed_3,Seed_3,Seed_3,False
6179488533,475365893,150.63101427758025,Seed_3,Seed_3,Seed_3,Seed_3,False
6179488533,643790,88.57705409195454,Seed_3,Seed_3,Seed_3,Seed_3,False
6179488533,9025073822,46.434987021944764,Seed_3,Seed_3,Seed_3,Seed_3,False
9025073896,9025074038,20.82759936926661,Seed_3,Seed_3,Seed_3,Seed_3,False
9025073896,9025073895,16.53213776582258,Seed_3,Seed_3,Seed_3,Seed_3,False
921231600,921231619,69.39515247631681,Seed_3,Seed_3,Seed_3,Seed_3,False
