node_id,x,y,planar_owner,node_network_owner,street_count
643608,433231.9940265686,426227.623055908,Seed_4,Seed_4,3
21093544,433055.88060755114,426272.5564534955,Seed_4,Seed_4,3
6385753553,433231.7397283657,426158.0818608011,Seed_4,Seed_4,1
643610,433270.4432090407,426155.02864675864,Seed_4,Seed_4,3
21093538,433286.7057672439,426161.6414454145,Seed_4,Seed_4,3
255454075,433281.1028760127,426054.60014365346,Seed_4,Seed_4,3
643612,433298.66077310167,425969.59704143344,Seed_4,Seed_4,3
255454104,433321.9120680594,425977.0048846429,Seed_4,Seed_4,3
26124069,433358.9809606599,425714.297444909,Seed_4,Seed_4,3
643614,433361.59919990966,425658.64001062117,Seed_4,Seed_4,3
26416729,433132.52264399914,425653.3497153984,Seed_4,Seed_4,3
643622,432589.2714203362,429580.8378633292,Seed_4,Seed_3,3
705561423,432566.1272417449,429584.1933522024,Seed_4,Seed_3,3
643624,432606.30433285807,429610.7078571734,Seed_4,Seed_3,3
1825219304,432640.50913320907,429525.99564976443,Seed_4,Seed_3,3
643627,432555.1730829203,429604.6900681866,Seed_4,Seed_3,3
643628,432556.6712882478,429613.968691963,Seed_4,Seed_3,3
705561416,432478.8477820734,429686.8640740644,Seed_4,Seed_3,3
1642907184,432572.95777592645,429629.79194616235,Seed_4,Seed_3,3
643660,432227.74039066967,429808.0480284742,Seed_4,Seed_3,3
10296555092,432103.4040756064,429869.2040818918,Seed_3,Seed_3,3
643665,431997.826290826,430008.75374997256,Seed_3,Seed_3,3
9025586523,431980.62032569194,430171.53734373185,Seed_3,Seed_3,3
643670,431959.1774264107,430317.78071735404,Seed_3,Seed_3,3
11084323977,431869.7469332412,430412.10323706607,Seed_3,Seed_3,3
643676,432136.8830498562,430242.77730482526,Seed_3,Seed_3,3
1642907327,432207.3009943021,430121.0476696873,Seed_3,Seed_3,3
643716,431979.50090308784,430306.95954650315,Seed_3,Seed_3,3
312489298,431968.7866793693,430305.40683526325,Seed_3,Seed_3,4
643769,431964.3754685855,430726.09731622296,Seed_3,Seed_3,3
1841165891,431960.226166716,430712.07214133,Seed_3,Seed_3,3
9822732,432389.1414519888,430792.3600268458,Seed_4,Seed_3,3
643771,431998.5913012991,430862.38324994966,Seed_3,Seed_3,3
1027324239,432067.59804964834,431078.7718339325,Seed_3,Seed_3,4
643789,431963.0724753013,431233.38339177147,Seed_3,Seed_3,5
6179488533,431971.0112821216,431246.36624548456,Seed_3,Seed_3,4
9025073896,431750.609477831,431404.02269934013,Seed_3,Seed_3,3
921231600,431936.15072485816,431192.63358572347,Seed_3,Seed_3,3
643790,432032.53870617296,431182.708717703,Seed_3,Seed_3,3
6283246211,432054.43393643555,431146.75304373377,Seed_3,Seed_3,3
643801,431388.4204037697,431641.4169461598,Seed_3,Seed_3,4
11671687370,431382.5309549582,431647.0520316013,Seed_3,Seed_3,4
11671642365,431341.98169372475,431592.0285218202,Seed_3,Seed_3,3
643807,430952.1814846377,432134.91277324373,Seed_3,Seed_3,3
921237933,430923.6590140994,432128.60539333744,Seed_3,Seed_3,2
495393771,430915.22100706404,432212.2756087071,Seed_3,Seed_3,3
643825,430876.6368700322,432298.26210437843,Seed_3,Seed_3,3
7103308983,430835.8531205828,432336.13526494463,Seed_3,Seed_3,3
643838,430825.6903448633,432366.66600570537,Seed_3,Seed_3,3
7103308978,430847.8733928085,432353.86059534235,Seed_3,Seed_3,3
921237874,430900.7836343543,432436.6992098242,Seed_3,Seed_3,1
643840,430906.0018649603,432294.53878620756,Seed_3,Seed_3,4
2125804677,430908.10365072574,432289.5457610558,Seed_3,Seed_3,4
9793364,430938.05449683475,432308.92480244243,Seed_3,Seed_3,3
643841,430919.91234476294,432253.3182147449,Seed_3,Seed_3,3
367659406,430926.7887925847,432218.67153654306,Seed_3,Seed_3,3
643844,430464.44182491174,432750.025699259,Seed_3,Seed_3,3
9025277255,430416.0351934139,432786.0171774648,Seed_3,Seed_3,4
7741337466,430372.4930640103,432783.04277121846,Seed_3,Seed_3,3
643851,430879.63486876106,433361.14941901516,Seed_3,Seed_3,4
1020737601,430885.853277399,433366.17493783124,Seed_3,Seed_3,3
762669698,430933.95412236726,433316.26721235074,Seed_3,Seed_3,4
