dataset,run,step,susceptible,infected,recovered
BOT_REQUESTS,89,2,517,0,2
BOT_REQUESTS,89,3,517,0,2
BOT_REQUESTS,89,4,517,0,2
BOT_REQUESTS,89,5,517,0,2
BOT_REQUESTS,89,6,517,0,2
BOT_REQUESTS,90,0,517,2,0
BOT_REQUESTS,90,1,517,0,2
BOT_REQUESTS,90,2,517,0,2
BOT_REQUESTS,90,3,517,0,2
BOT_REQUESTS,90,4,517,0,2
BOT_REQUESTS,90,5,517,0,2
BOT_REQUESTS,90,6,517,0,2
BOT_REQUESTS,91,0,517,2,0
BOT_REQUESTS,91,1,517,1,1
BOT_REQUESTS,91,2,516,2,1
BOT_REQUESTS,91,3,512,5,2
BOT_REQUESTS,91,4,492,25,2
BOT_REQUESTS,91,5,423,90,6
BOT_REQUESTS,91,6,269,220,30
BOT_REQUESTS,92,0,517,2,0
BOT_REQUESTS,92,1,516,3,0
BOT_REQUESTS,92,2,505,13,1
BOT_REQUESTS,92,3,433,80,6
BOT_REQUESTS,92,4,287,200,32
BOT_REQUESTS,92,5,204,223,92
BOT_REQUESTS,92,6,167,195,157
BOT_REQUESTS,93,0,517,2,0
BOT_REQUESTS,93,1,516,2,1
BOT_REQUESTS,93,2,497,20,2
BOT_REQUESTS,93,3,392,115,12
BOT_REQUESTS,93,4,242,235,42
BOT_REQUESTS,93,5,176,237,106
BOT_REQUESTS,93,6,141,207,171
BOT_REQUESTS,94,0,517,2,0
BOT_REQUESTS,94,1,517,2,0
BOT_REQUESTS,94,2,516,3,0
BOT_REQUESTS,94,3,501,18,0
BOT_REQUESTS,94,4,394,122,3
BOT_REQUESTS,94,5,244,232,43
BOT_REQUESTS,94,6,181,225,113
BOT_REQUESTS,95,0,517,2,0
BOT_REQUESTS,95,1,516,3,0
BOT_REQUESTS,95,2,497,20,2
